"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region","se"
2,0.333333333333333,NA,NA,NA,NA,NA,2004,"Observed","South East Asia",NA
3,0.104477611940299,NA,NA,NA,NA,NA,2005,"Observed","South Asia",NA
3,0.75,NA,NA,NA,NA,NA,2005,"Observed","South East Asia",NA
4,0.4,NA,NA,NA,NA,NA,2006,"Observed","South East Asia",NA
4,0.104761904761905,NA,NA,NA,NA,NA,2006,"Observed","South Asia",NA
5,0.112449799196787,NA,NA,NA,NA,NA,2007,"Observed","South Asia",NA
5,0.8,NA,NA,NA,NA,NA,2007,"Observed","South East Asia",NA
6,0.162280701754386,NA,NA,NA,NA,NA,2008,"Observed","South Asia",NA
6,0.5,NA,NA,NA,NA,NA,2008,"Observed","South East Asia",NA
7,0.168,NA,NA,NA,NA,NA,2009,"Observed","South Asia",NA
7,0.375,NA,NA,NA,NA,NA,2009,"Observed","South East Asia",NA
8,0.5,NA,NA,NA,NA,NA,2010,"Observed","South East Asia",NA
8,0.194915254237288,NA,NA,NA,NA,NA,2010,"Observed","South Asia",NA
9,0.123931623931624,NA,NA,NA,NA,NA,2011,"Observed","South Asia",NA
9,0.315789473684211,NA,NA,NA,NA,NA,2011,"Observed","South East Asia",NA
10,0.0951008645533141,NA,NA,NA,NA,NA,2012,"Observed","South Asia",NA
10,0.545454545454545,NA,NA,NA,NA,NA,2012,"Observed","South East Asia",NA
11,0.0625,NA,NA,NA,NA,NA,2013,"Observed","South Asia",NA
11,0.666666666666667,NA,NA,NA,NA,NA,2013,"Observed","South East Asia",NA
12,0.428571428571429,NA,NA,NA,NA,NA,2014,"Observed","South East Asia",NA
12,0.116197183098592,NA,NA,NA,NA,NA,2014,"Observed","South Asia",NA
13,0.187793427230047,NA,NA,NA,NA,NA,2015,"Observed","South Asia",NA
13,0.3,NA,NA,NA,NA,NA,2015,"Observed","South East Asia",NA
14,0.165,NA,NA,NA,NA,NA,2016,"Observed","South Asia",NA
14,0.214285714285714,NA,NA,NA,NA,NA,2016,"Observed","South East Asia",NA
15,0.130597014925373,NA,NA,NA,NA,NA,2017,"Observed","South Asia",NA
15,0.75,NA,NA,NA,NA,NA,2017,"Observed","South East Asia",NA
16,0.272727272727273,NA,NA,NA,NA,NA,2018,"Observed","South East Asia",NA
17,0.333333333333333,NA,NA,NA,NA,NA,2019,"Observed","South East Asia",NA
1,0.413976195954042,0.16771048654049,0.126305077459821,0.751080842003574,1.00116000529919,4000,2003,"MM.p.uw","South East Asia",NA
2,0.367116825395686,0.17184728202902,0.0750010457524198,0.721075655002735,1.00066605104794,4500,2004,"MM.p.uw","South East Asia",NA
3,0.706413844606833,0.172905539527706,0.321389141974653,0.957984968982714,1.00383427294626,2300,2005,"MM.p.uw","South East Asia",NA
4,0.417366616019756,0.145685214287568,0.159035213388091,0.714621200670761,1.00092452602397,4500,2006,"MM.p.uw","South East Asia",NA
